time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2020-08-28 19:00:11.103 UTC, ,125,3159725,952,13872, , ,6, ,9, , , , , , , , , ,6,6, , , , ,2,10, , , , , , , , , , , ,2, , , ,6320730,1218,1,573,573,1, ,2,4,1266,1110554050560,-1,-1, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1598641211073, , , , ,3145728,1218, , , ,4,4,15,4,3,4, , ,3,5, , , , , , , ,38,1, , ,12288,3,1228,4, , , , , , ,2,6,39904768, , , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-08-28 19:01:34.651 UTC, ,125,3163685,1184,17832, , ,8, ,44,4,0.09, , , , , , , ,8,8, ,7, ,4,3,13, ,36,11, , , , , , , , ,2, , , ,6327618,2604,2,1670,1670,1, ,4,8,2652,1110554001408,-1,-1, , , , , ,1,28, , , , , , , , , , , , , , , , , , , , , , , , , ,2652, ,1598641294629, , , , ,3145728,2604, , ,17,4,1,4,1,4,1, , ,3,2, , , ,17, ,2048,1, , , , ,104854,30,1051,1, , , , , , ,2,6,38030704,1, , , , , , ,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-08-28 19:02:34.656 UTC, ,125,3165517,1312,19440,224, ,8, , , , , , , , , , , ,8,8, , , ,4,3,11, , , , , , , , , , , ,2, , , ,6329450,2604,2,1670,1670, , , , ,2652,1110551519232,39,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2652, ,1598641294629, , , , ,3145728,2604, , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , , ,2145,4, , , , , , , , ,2,5,39418216,1, , , , , , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , 
2020-08-28 19:02:53.545 UTC, ,125,3165293,1312,19440, , ,4, ,4, , , , , , , , , ,4,4, , , ,4,3,11, ,4, , , , , , , , , ,1, , , ,3165293,2604,2,1670,1670, , , , ,2652,1110551498752,39,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2652, ,1598641294629, , , , ,3145728,2604, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,40466792, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-08-28 19:02:58.857 UTC, ,125,3160285,1184,14432, , ,3, ,20,3,0.15, , , , , , , ,3,3, ,2, ,2,1,5, ,21,11, , , , , , , , ,1, , , ,3160285,3123,3, ,2761, , , , ,3168,1110553743360,-1,-1, , , , , ,1,46, , , , , , , , , , , , , , , , , , , , , , , , , ,3168, ,1598641378607, , , , ,3145728,3123, , ,19,0, , , ,2, , , ,3, , , , ,19, ,2048,1, , , , ,100955,30, , , , , , , , ,1,2,14477824, , , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-08-28 19:03:58.863 UTC, ,125,3165101,1312,19024,224, ,4, ,4, , , , , , , , , ,4,4, , , ,2,2,4, ,4,3, , , , , , , , ,1, , , ,3165101,3123,3, ,2761, , , , ,3168,1110553718784,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3168, ,1598641378607, , , , ,3145728,3123, , ,5,0, , , ,1, , , ,3, , , , ,5,1, , , , , , ,6241,6, , , , , , , , , , ,24963584, , , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-08-28 19:04:58.884 UTC, ,125,3165101,1312,19024,224, ,4, , , , , , , , , , , ,4,4, , , ,2,2,4, , , , , , , , , , , ,1, , , ,3165101,3123,3, ,2761, , , , ,3168,1110553669632,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3168, ,1598641378607, , , , ,3145728,3123, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,32303616,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-08-28 19:05:58.890 UTC, ,125,3165101,1312,19024,224, ,4, ,1, , , , , , , , , ,4,4, , , ,2,2,4, , , , , , , , , , , ,1, , , ,3165101,3123,3, ,2761, , , , ,3297,1110553628672,34,34, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3297, ,1598641378607, , , , ,3145728,3270, , , ,10,1,17,1,2,1, , ,3,2, , , , ,1, , , , , , ,4096,2,129,1, , , , , , ,1,3,21365248,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , 
2020-08-28 19:06:58.896 UTC, ,125,3168237,1416,22160,224, ,5, ,4, , , , , , , , , ,5,5, , , ,2,2,6, ,2, , , , , , , , , ,1, , , ,3168237,3123,3, ,2761, , , , ,3507,1110553604096,38,38, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3507, ,1598641378607, , , , ,3145728,3480, , , ,7,1,13,1, ,1, , ,3,2, , , , ,1, , , , , , , , ,210,1, , , , , , ,1,4,27085568, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1,1,1, , , , , , , 
2020-08-28 19:07:58.904 UTC, ,125,3168237,1416,22160,224, ,5, , , , , , , , , , , ,5,5, , , ,2,2,6, , , , , , , , , , , ,1, , , ,3168237,3123,3, ,2761, , , , ,3507,1110553579520,38,38, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3507, ,1598641378607, , , , ,3145728,3480, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,37571328,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
