time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2020-08-28 19:00:11.068 UTC, ,125,3159725,952,13872, , ,3, ,6, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , ,1, , , ,3159725,1218,1,573,573,1, ,2,4,1266,1110554075136,51,51, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1598641210821, , , , ,3145728,1218, , , ,4,4,16,4,3,4, , ,3,5, , , , , , , ,38,1, , ,12288,3,1228,4, , , , , , ,2,6,29419008, , , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-08-28 19:01:34.633 UTC, ,125,3163821,1184,17968, , ,4, ,38,4,0.11, , , , , , , ,4,4, ,4, ,2,2,6, ,32,9, , , , , , , , ,1, , , ,3163821,2477,2,1624,1624,1,1,3,7,2525,1110554001408,43,43, , , , , ,1,26, , , , , , , , , , , , , , , , , , , , , , , , , ,2525, ,1598641294407, , , , ,3145728,2477, , ,17,9,1,9,1,4,1, , ,3,2, , , ,17, ,2048,1, , , , ,104854,30,970,1, , , , , , ,2,6,27544944,1, , , , , , ,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-08-28 19:02:34.640 UTC, ,125,3163933,1184,17968,112, ,8, ,7, , , , , , , , , ,8,8, , , ,4,3,11, ,4,3, , , , , , , , ,2, , , ,6329450,2477,2,1624,1624, , , , ,2525,1110551519232,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2525, ,1598641294407, , , , ,3145728,2477, , ,2,0, , , ,1, , , ,3, , , , ,2,1, , , , , , ,2161,3, , , , , , , , ,2,5,39418216,1, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , 
2020-08-28 19:02:53.533 UTC, ,125,3163821,1184,17968, , ,8, , , , , , , , , , , ,8,8, , , ,4,3,11, , , , , , , , , , , ,2, , , ,6329338,2477,2,1624,1624, , , , ,2525,1110551498752,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2525, ,1598641294407, , , , ,3145728,2477, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,40466792, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-08-28 19:13:59.623 UTC, ,125,3160269,1184,14416, , ,3,1,21,3,0.14, , , , , , , ,3,3, ,2,1,2,1,5, ,21,11, , , , , , , , ,1, , , ,3160269,2961,3, ,2599, , , , ,3006,1110553538560,39,39, , , , , ,1,44, , , , , , , , , , , , , , , , , , , , , , , , , ,3006, ,1598642039425, , , , ,3145728,2961, , ,20,0, , , ,2, , , ,3, , , , ,20, ,2048,1, , , , ,103001,31, , , , , , , , ,2,6,27065504,1, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-08-28 19:14:59.628 UTC, ,125,3163517,1184,17552,112, ,9, ,7, , , , , , , , , ,9,9, , , ,4,4,12, ,4,2, , , , , , , , ,2, , , ,6331898,2961,3, ,2599, , , , ,3006,1110551117824,39,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3006, ,1598642039425, , , , ,3145728,2961, , ,4,0, , , ,1, , , ,3, , , , ,4,1, , , , , , ,6257,5, , , , , , , , ,1,3,36620000,1, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , 
2020-08-28 19:15:59.636 UTC, ,125,3163517,1184,17552,112, ,9, , , , , , , , , , , ,9,9, , , ,4,4,12, , , , , , , , , , , ,2, , , ,6331898,2961,3, ,2599, , , , ,3006,1110551105536,39,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3006, ,1598642039425, , , , ,3145728,2961, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,36620000, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-08-28 19:16:59.643 UTC, ,125,3163517,1184,17552,112, ,9, ,1, , , , , , , , , ,9,9, , , ,4,4,12, , , , , , , , , , , ,2, , , ,6331898,2961,3, ,2599, , , , ,3006,1110551101440,39,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3006, ,1598642039425, , , , ,3145728,2961, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,40814304, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-08-28 19:17:59.646 UTC, ,125,3163517,1184,17552,112, ,9, , , , , , , , , , , ,9,9, , , ,4,4,12, , , , , , , , , , , ,2, , , ,6331898,2961,3, ,2599, , , , ,3006,1110551080960,39,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3006, ,1598642039425, , , , ,3145728,2961, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,40814304, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-08-28 19:18:59.652 UTC, ,125,3163517,1184,17552,112, ,9, ,1, , , , , , , , , ,9,9, , , ,4,4,12, , , , , , , , , , , ,2, , , ,6331898,2961,3, ,2599, , , , ,3006,1110551068672,39,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3006, ,1598642039425, , , , ,3145728,2961, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,41862880, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
